eval_total_steps,l2,gail,tdil
1875,50,50,50
1880,50,50,50
1885,50,50,50
1890,50,50,50
1895,50,50,50
1900,50,50,50
1905,50,50,50
1910,50,50,50
1915,50,50,50
1920,50,50,50
1925,50,50,50
1930,50,50,50
1935,50,50,50
1940,50,50,50
1945,50,50,50
1950,50,50,50
1955,50,50,50
1960,50,50,50
1965,50,50,50
1970,50,50,50
1975,50,50,50
1980,50,50,50
1985,50,50,50
1990,50,50,50
1995,50,50,50
2000,50,50,50
2005,50,50,50
2010,50,50,50
2015,50,50,50
2020,50,50,50
2025,50,50,50
2030,50,50,50
2035,50,50,50
2040,50,50,50
2045,50,50,50
2050,50,50,50
2055,50,50,50
2060,50,50,50
2065,50,50,50
2070,50,50,23
2075,50,50,23
2080,50,50,50
2085,50,50,23
2090,50,50,50
2095,50,50,50
2100,50,50,50
2105,50,50,23
2110,50,50,23
2115,50,50,23
2120,50,50,23
2125,50,50,23
2130,50,50,23
2135,50,50,23
2140,50,50,23
2145,50,50,23
2150,50,50,23
2155,50,50,23
2160,50,50,23
2165,50,50,50
2170,50,50,23
2175,50,50,50
2180,50,50,23
2185,50,50,23
2190,50,50,23
2195,50,50,50
2200,50,50,23
2205,50,50,23
2210,50,50,23
2215,50,50,23
2220,50,50,50
2225,50,50,23
2230,50,50,23
2235,50,50,23
2240,50,50,23
2245,50,50,23
2250,50,50,23
2255,50,50,23
2260,50,50,23
2265,50,50,23
2270,50,50,23
2275,50,50,23
2280,50,50,23
2285,50,50,23
2290,50,50,23
2295,50,50,23
2300,50,50,23
2305,50,50,23
2310,50,50,23
2315,50,50,23
2320,50,50,23
2325,50,50,23
2330,50,50,23
2335,50,50,23
2340,50,50,23
2345,50,50,23
2350,50,50,23
2355,50,50,23
2360,50,50,23
2365,50,50,23
2370,50,50,23
2375,50,50,23
2380,50,50,23
2385,50,50,23
2390,50,50,23
2395,50,50,23
2400,50,50,23
2405,50,50,23
2410,50,50,23
2415,50,50,23
2420,50,50,23
2425,50,50,23
2430,50,50,23
2435,50,50,23
2440,50,50,23
2445,50,50,23
2450,50,50,23
2455,50,50,23
2460,50,50,23
2465,50,50,23
2470,50,50,23
2475,50,50,23
2480,50,50,23
2485,50,50,23
2490,50,50,23
2495,50,50,23
2500,50,50,23
2505,50,50,23
2510,50,50,23
2515,50,50,23
2520,50,50,23
2525,50,50,23
2530,50,50,23
2535,50,50,23
2540,50,50,23
2545,50,50,23
2550,50,50,23
2555,50,50,23
2560,50,50,23
2565,50,50,23
2570,50,50,23
2575,50,50,23
2580,50,50,23
2585,50,50,23
2590,50,50,23
2595,50,50,23
2600,50,50,23
2605,50,50,23
2610,50,50,23
2615,50,50,23
2620,50,50,23
2625,50,50,23
2630,50,50,23
2635,50,50,23
2640,50,50,23
2645,50,50,23
2650,50,50,23
2655,50,50,23
2660,50,50,23
2665,50,50,23
2670,50,50,23
2675,50,50,23
2680,50,50,23
2685,50,50,23
2690,50,50,23
2695,50,50,23
2700,50,50,23
2705,50,50,23
2710,50,50,23
2715,50,50,23
2720,50,50,23
2725,50,50,23
2730,50,50,23
2735,50,50,23
2740,50,50,23
2745,50,50,23
2750,50,50,23
2755,50,50,23
2760,50,50,23
2765,50,50,23
2770,50,50,23
2775,50,50,23
2780,50,50,23
2785,50,50,23
2790,50,50,23
2795,50,50,23
2800,50,50,23
2805,50,50,23
2810,50,50,23
2815,50,50,23
2820,50,50,23
2825,50,50,23
2830,50,50,23
2835,50,50,23
2840,50,50,23
2845,50,50,23
2850,50,50,23
2855,50,50,23
2860,50,50,23
2865,50,50,23
2870,50,50,23
2875,50,50,23
2880,50,50,23
2885,50,50,23
2890,50,50,23
2895,50,50,23
2900,50,50,23
2905,50,50,23
2910,50,50,23
2915,50,50,23
2920,50,50,23
2925,50,50,23
2930,50,50,23
2935,50,50,23
2940,50,50,23
2945,50,50,23
2950,50,50,23
2955,50,50,23
2960,50,50,23
2965,50,50,23
2970,50,50,23
2975,50,50,23
2980,50,50,23
2985,50,50,23
2990,50,50,23
2995,50,50,23
3000,50,50,23
3005,50,50,23
3010,50,50,23
3015,50,50,23
3020,50,50,23
3025,50,50,23
3030,50,50,23
3035,50,50,23
3040,50,50,23
3045,50,50,23
3050,50,50,23
3055,50,50,23
3060,50,50,23
3065,50,50,23
3070,50,50,23
3075,50,50,23
3080,50,50,23
3085,50,50,23
3090,50,50,23
3095,50,50,23
3100,50,50,23
3105,50,50,23
3110,50,50,23
3115,50,50,23
3120,50,50,23
3125,50,50,23
3130,50,50,23
3135,50,50,23
3140,50,50,23
3145,50,50,23
3150,50,50,23
3155,50,50,23
3160,50,50,23
3165,50,50,23
3170,50,50,23
